2.5 1064.1  110
7.5 838     87.2
12.5 661.1   68.5
17.5 519.1   53.7
22.5 402.6   39.5
27.5 311.9   31.8
32.5 237.8   24.2
37.5 177.3   18.3
42.5 129.6   12.6
47.5 92.7    9
52.5 64.4    8.1
57.5 43.7    7.6

PHENIX AuAu 200 GeV:

#Centrality [%]       0-5            5-10      10-15     15-20     20-25     25-30     30-35     35-40     40-45    45-50    50-55   55-60   60-92
#Ncoll  =  {1064.1,    838.0,    661.1,    519.1,    402.6,    311.9,    237.8,    177.3,    129.6,    92.7,    64.4,    43.7,    12.1};
#eNcoll = {110.0,      87.2,      68.5,      53.7,       39.5,      31.8,      24.2,       18.3,      12.6,      9.0,      8.1,       7.6,      3.1};
#
#Centrality [%]       0-5          5-10      10-15     15-20     20-25     25-30     30-35     35-40     40-45    45-50    50-55   55-60     60-92
#Nch    = {687.4,    560.4,    456.8,    371.5,    302.5,    245.6,    197.2,    156.4,    123.5,    95.3,    70.9,     52.2,      16.362};
#eNch  = {36.6,      27.9,      22.3,      18.2,      15.8,       13.8,       12.2,      10.9,      9.6,        8.6,      7.6,        6.5,        2.8137};
